Season,TeamID,ExtWL_Wins,ExtWL_Losses,ExtWL_Pushes,ExtWL_Games,ExtWL_WinPct,ExtWL_MOV,ExtWL_ATSPlusMinus,ExtATS_Wins,ExtATS_Losses,ExtATS_Pushes,ExtATS_Games,ExtATS_CoverPct,ExtATS_MOV,ExtATS_ATSPlusMinus,ExtOU_Overs,ExtOU_Unders,ExtOU_Pushes,ExtOU_Games,ExtOU_OverPct,ExtOU_UnderPct,ExtOU_TotalPlusMinus,ExtWL_WinsZ,ExtWL_LossesZ,ExtWL_PushesZ,ExtWL_GamesZ,ExtWL_WinPctZ,ExtWL_MOVZ,ExtWL_ATSPlusMinusZ,ExtATS_WinsZ,ExtATS_LossesZ,ExtATS_PushesZ,ExtATS_GamesZ,ExtATS_CoverPctZ,ExtATS_MOVZ,ExtATS_ATSPlusMinusZ,ExtOU_OversZ,ExtOU_UndersZ,ExtOU_PushesZ,ExtOU_GamesZ,ExtOU_OverPctZ,ExtOU_UnderPctZ,ExtOU_TotalPlusMinusZ,ExtCompositeSide,ExtCompositeTotal
2026,1101,14.0,19.0,0.0,33.0,0.424,-2.1,-2.6,13.0,16.0,1.0,30.0,0.44799999999999995,-2.1,-2.6,17.0,13.0,0.0,30.0,0.5670000000000001,0.433,1.4,-0.5116690155235997,0.6641800983192558,0.0,0.45657539614461057,-0.5674392619053443,-0.6026005302759893,-1.3667249156534478,-0.8332754395571951,0.279543935368454,1.1447347454370898,-0.49633762133966475,-0.6237037109583742,-0.6026005302759893,-1.3667249156534478,0.6224251590320177,-0.8695534068775953,-0.39786339563090345,-0.4975933759283146,0.8024829887373192,-0.8032628757316752,0.25573692883939947,-0.746284440524113,0.5839015478273047
2026,1102,3.0,29.0,0.0,32.0,0.094,-18.3,-4.9,10.0,21.0,1.0,32.0,0.32299999999999995,-18.3,-4.9,19.0,13.0,0.0,32.0,0.594,0.406,0.2,-2.4191445005071213,2.5522310008623115,0.0,-0.348497162274635,-2.5119628357338666,-3.1050072551316146,-2.578048360217499,-1.9365845161172055,2.1831546892767695,1.1447347454370898,0.6288998431881486,-2.1302942347023284,-3.1050072551316146,-2.578048360217499,1.298571537147156,-0.8695534068775953,-0.39786339563090345,0.623527501934863,1.0967187895411827,-1.0974781303342047,-0.14388053399205605,-2.6458429762951865,0.6005929612468406
2026,1103,29.0,5.0,0.0,34.0,0.853,14.9,1.7,17.0,15.0,0.0,32.0,0.531,14.9,1.7,14.0,17.0,1.0,32.0,0.452,0.5479999999999999,0.0,2.089433918544839,-1.9790911652410221,0.0,1.2616479545638561,1.9604413840717343,2.023381835313247,0.8979232633141263,0.6378033291894856,-0.10117821541320905,-0.6182533646242511,0.6288998431881486,0.3766723968076122,2.023381835313247,0.8979232633141263,-0.39179440814068994,0.4868012662434405,2.022472261123759,0.623527501934863,-0.4507435702421046,0.44987617164946936,-0.2104834444639653,1.5292545472030483,-0.3545094101419536
2026,1104,23.0,9.0,0.0,32.0,0.7190000000000001,8.3,0.3,13.0,18.0,0.0,31.0,0.419,8.3,0.3,16.0,14.0,1.0,31.0,0.5329999999999999,0.467,0.7,1.0489927449174634,-1.2238708042237998,0.0,-0.348497162274635,1.1708469631837897,1.0038827992609554,0.1605959492316604,-0.8332754395571951,1.0409882369317802,-0.6182533646242511,0.06628111092424198,-0.9732327124669712,1.0038827992609554,0.1605959492316604,0.28435196997444845,-0.5304647385973363,2.022472261123759,0.06296706300327416,0.4319638321694881,-0.4327695921581189,0.022626742187717076,0.5970955598688993,0.2683498601750743
2026,1105,18.0,15.0,0.0,33.0,0.546,-0.5,-0.1,15.0,15.0,0.0,30.0,0.5,-0.5,-0.1,15.0,15.0,0.0,30.0,0.5,0.5,2.3,0.18195843356131725,-0.09104026269796649,0.0,0.45657539614461057,0.1514452108433823,-0.35544924880876705,-0.05006899764904416,-0.09773605518385477,-0.10117821541320905,-0.6182533646242511,-0.49633762133966475,0.003037946919111266,-0.35544924880876705,-0.05006899764904416,-0.05372121908312074,-0.1913760703170774,-0.39786339563090345,-0.4975933759283146,0.07234229785365451,-0.07317316986613838,0.555450025962991,-0.06318705833938845,0.2657100198992617
2026,1106,10.0,22.0,0.0,32.0,0.313,-4.1,-1.5,13.0,18.0,0.0,31.0,0.419,-4.1,-1.5,14.0,17.0,0.0,31.0,0.452,0.5479999999999999,-1.6,-1.2052964646085167,1.2305953690821725,0.0,-0.348497162274635,-1.22150628219312,-0.9115396321100171,-0.7873963117315101,-0.8332754395571951,1.0409882369317802,-0.6182533646242511,0.06628111092424198,-0.9732327124669712,-0.9115396321100171,-0.7873963117315101,-0.39179440814068994,0.4868012662434405,-0.39786339563090345,0.06296706300327416,-0.4507435702421046,0.44987617164946936,-0.7433067282392394,-1.0044532576169447,-0.5676387236520632
2026,1107,11.0,21.0,0.0,32.0,0.344,-0.9,-0.4,11.0,18.0,0.0,29.0,0.379,-0.9,-0.4,14.0,15.0,0.0,29.0,0.483,0.517,0.3,-1.0318896023372874,1.041790278827867,0.0,-0.348497162274635,-1.0388389161668043,-0.4172370691755726,-0.2080677078095726,-1.5688148239305353,1.0409882369317802,-0.6182533646242511,-1.0589563536035713,-1.4553416800650363,-0.4172370691755726,-0.2080677078095726,-0.39179440814068994,-0.1913760703170774,-0.39786339563090345,-1.0581538148599035,-0.11291728043026039,0.11207347192063978,-0.11057907875610141,-0.7486795349827233,-0.11185542848415371
2026,1108,9.0,23.0,0.0,32.0,0.281,-13.3,-0.8,17.0,14.0,1.0,32.0,0.5479999999999999,-13.3,-0.8,15.0,16.0,1.0,32.0,0.484,0.516,-0.5,-1.378703326879746,1.419400459336478,0.0,-0.348497162274635,-1.4100661438977036,-2.332659500546545,-0.41873265469027715,0.6378033291894856,-0.48190036619487214,1.1447347454370898,0.6288998431881486,0.5815687080367888,-2.332659500546545,-0.41873265469027715,-0.05372121908312074,0.14771259796318156,2.022472261123759,0.623527501934863,-0.10201965817826539,0.1011766106390646,-0.37699072064373845,-1.189832225260697,-0.2118816260335745
2026,1110,16.0,16.0,0.0,32.0,0.5,3.3,-0.3,16.0,14.0,0.0,30.0,0.5329999999999999,3.3,-0.3,15.0,15.0,0.0,30.0,0.5,0.5,1.2,-0.1648552909811412,0.09776482755633908,0.0,-0.348497162274635,-0.11960959035695737,0.23153504467588573,-0.15540147108939642,0.27003363700281535,-0.48190036619487214,-0.6182533646242511,-0.49633762133966475,0.4007778451875142,0.23153504467588573,-0.15540147108939642,-0.05372121908312074,-0.1913760703170774,-0.39786339563090345,-0.4975933759283146,0.07234229785365451,-0.07317316986613838,0.18913401836749022,0.05663353933807848,0.11918361686106138
2026,1111,19.0,13.0,0.0,32.0,0.594,6.0,0.9,16.0,13.0,1.0,30.0,0.552,6.0,0.9,12.0,18.0,0.0,30.0,0.4,0.6,-1.2,0.3553652958325465,-0.4686504432065776,0.0,-0.348497162274635,0.43428500340025783,0.6486028321518232,0.47659336955271725,0.27003363700281535,-0.8626225169765352,1.1447347454370898,-0.49633762133966475,0.6297796047965968,0.6486028321518232,0.47659336955271725,-1.0679407862558283,0.8258899345236995,-0.39786339563090345,-0.4975933759283146,-1.0174199273458437,1.016512958291379,-0.6101009072954208,0.5363662154656702,-0.8543562739675049
