model,feature,gain
win_model,Diff_Last5Score,1.002960205078125
margin_q10,Diff_MasseyWorstRank,8.739340782165527
margin_q10,Diff_MasseyMedianRank,6.1604390144348145
margin_q10,Diff_MasseyMeanRank,5.656986713409424
margin_q10,Diff_MasseyStdRank,2.0663037300109863
margin_q10,Avg_Last10WinPct,1.9687117338180542
margin_q10,Avg_MasseyMeanRank,1.8725330829620361
margin_q10,Avg_PaceMean,1.8405003547668457
margin_q10,Avg_MasseyBestRank,1.7376399040222168
margin_q10,Avg_MasseySystems,1.735146403312683
margin_q10,Avg_NetRatingMean,1.6632945537567139
margin_q10,Avg_MarginMean,1.6568344831466675
margin_q10,Avg_NeutralWinPct,1.64633309841156
margin_q10,Diff_NeutralGamePct,1.6329126358032227
margin_q10,Diff_EloPeak,1.569318413734436
margin_q10,Avg_ScoreMean,1.4508569240570068
margin_q10,Avg_TSMean,1.4437657594680786
margin_q10,Avg_StlMean,1.4319933652877808
margin_q10,Avg_Last5NetRating,1.3949755430221558
margin_q10,Diff_MarginMean,1.390803575515747
margin_q10,Avg_SOSOppNetRating,1.3871878385543823
margin_q10,Avg_Last10OffRating,1.359452247619629
margin_q10,Diff_OppeFGMean,1.350609540939331
margin_q10,Avg_EloEnd,1.3497943878173828
margin_q10,Avg_OppeFGMean,1.340732455253601
margin_q10,Diff_NetRatingMean,1.3389946222305298
margin_q10,Diff_NeutralWinPct,1.3274922370910645
margin_q10,Diff_Last10OppScore,1.3165463209152222
margin_q10,Avg_eFGMean,1.312391757965088
margin_q10,Diff_AwayWinPct,1.3089650869369507
margin_q10,Diff_Last10Margin,1.3085888624191284
margin_q10,Avg_MarginStd,1.3035520315170288
margin_q10,Diff_FG3PctMean,1.2862874269485474
margin_q10,Diff_MasseyBestRank,1.2861695289611816
margin_q10,Avg_AstMean,1.2711946964263916
margin_q10,Diff_EloEnd,1.2664752006530762
margin_q10,Diff_SOSOppNetRating,1.2385104894638062
margin_q10,Avg_BlkMean,1.2356655597686768
margin_q10,Avg_OppScoreMean,1.2304298877716064
margin_q10,Diff_Last5OppScore,1.2300301790237427
margin_q10,Diff_FTRateMean,1.2212066650390625
margin_q10,Avg_WinPct,1.2063775062561035
margin_q10,Diff_Last10Score,1.1931076049804688
margin_q10,Avg_PFMean,1.1875990629196167
margin_q10,Avg_Last10OppScore,1.1776511669158936
margin_q10,Avg_DefRatingMean,1.169541358947754
margin_q10,Avg_MasseyStdRank,1.168202519416809
margin_q10,Avg_TOMean,1.1654795408248901
margin_q10,Avg_ThreeRateMean,1.157723069190979
margin_q10,Diff_ORBRateMean,1.148044228553772
margin_q10,Diff_FTPctMean,1.1466108560562134
margin_q10,Diff_Last5NetRating,1.128544807434082
margin_q10,Avg_Last5Score,1.1204911470413208
margin_q10,Avg_HomeWinPct,1.1168899536132812
margin_q10,Avg_Last10Score,1.1115237474441528
margin_q10,Avg_Wins,1.1114057302474976
margin_q10,Avg_NeutralGamePct,1.1073191165924072
margin_q10,Avg_Games,1.0933011770248413
margin_q10,Avg_ORBRateMean,1.0890631675720215
margin_q10,Diff_TRBRateMean,1.0816805362701416
margin_q10,Diff_Last5Margin,1.0741651058197021
margin_q10,Diff_SeedNum,1.0565438270568848
margin_q10,B_SeedNum,1.0561821460723877
margin_q10,Avg_FTPctMean,1.0517977476119995
margin_q10,Avg_Last5OppScore,1.0455739498138428
margin_q10,Diff_DefRatingMean,1.0422134399414062
margin_q10,Avg_FTRateMean,1.0288991928100586
margin_q10,Avg_TOVRateMean,1.018295407295227
margin_q10,Avg_Last5OffRating,1.0103408098220825
margin_q10,Avg_DRBRateMean,1.0009829998016357
margin_q10,Diff_OppFG3PctMean,0.9986339807510376
margin_q10,Diff_SOSOppWinPct,0.967344343662262
margin_q10,Avg_Last5DefRating,0.9651420712471008
margin_q10,Diff_Last10NetRating,0.9565467834472656
margin_q10,Avg_OffRatingMean,0.9535233974456787
margin_q10,Diff_TOVRateMean,0.9518208503723145
margin_q10,Avg_SOSOppWinPct,0.9505136609077454
margin_q10,Diff_Last5WinPct,0.9406698346138
margin_q10,Diff_WinPct,0.9180769920349121
margin_q10,Diff_HomeWinPct,0.9084283709526062
margin_q10,Avg_FG3PctMean,0.9062111377716064
margin_q10,Avg_MasseyWorstRank,0.9013557434082031
margin_q10,Diff_PaceMean,0.8975299000740051
