Round,GameDateET,TipTimeET,Network,Region,Slot,TeamA,TeamB,TeamAID,TeamBID,SeedA,SeedB,Notes,EventID,CommenceTimeUTC,MarketMoneylineTeamA,MarketMoneylineTeamB,MarketSpreadTeamA,MarketSpreadPriceA,MarketSpreadPriceB,MarketTotal,MarketOverPrice,MarketUnderPrice,MarketProbTeamA,MarketProbTeamB,MarketBookCount,MoneylineHold,SpreadHold,TotalHold,OddsBundleMatchStatus,Season,OfficialTeamA,OfficialTeamB,GameLabel,TipDateTimeET,ScheduleGroup,RegionLetter,StrongSeed,WeakSeed,TeamASeed,TeamBSeed,NeedsPlayInWinner,PendingSeedBase,PendingFromGame,ScenarioLabel,ScenarioFromPlayIn
First Round,2026-03-19,4:25 PM,TBS,West,R1Z4,Arkansas,Hawaii,1116,1218.0,,,,f238a7dd73a634df2b455b017e2cefe6,2026-03-19T20:25:05Z,-1300.0,800.0,-15.0,,,160.5,,,,,,,,,exact,2026,Arkansas,Hawai'i,Arkansas vs. Hawai'i,2026-03-19 04:25 PM ET,round1_official_reference,Z,Z04,Z13,Z04,Z13,False,,,,
First Round,2026-03-19,6:50 PM,TNT,South,R1X6,North Carolina,VCU,1314,1433.0,,,,54f2978fe672f1d22f40fb742b4e56fc,2026-03-19T22:50:00Z,-140.0,116.0,-2.5,,,154.0,,,,,,,,,exact,2026,North Carolina,VCU,North Carolina vs. VCU,2026-03-19 06:50 PM ET,round1_official_reference,X,X06,X11,X06,X11,False,,,,
First Round,2026-03-19,7:10 PM,CBS,Midwest,R1Y1,Michigan,,1276,,,,,,,,,,,,,,,,,,,,,pending_playin,2026,Michigan,,Michigan vs. TBD,2026-03-19 07:10 PM ET,round1_official_reference,Y,Y01,Y16,Y01,Y16,True,Y16,Winner of UMBC vs Howard,,
First Round,2026-03-19,7:25 PM,TBS,West,R1Z6,BYU,,1140,,,,,,,,,,,,,,,,,,,,,pending_playin,2026,BYU,,BYU vs. TBD,2026-03-19 07:25 PM ET,round1_official_reference,Z,Z06,Z11,Z06,Z11,True,Z11,Winner of Texas vs NC State,,
First Round,2026-03-19,7:35 PM,truTV,South,R1X7,St Mary's CA,Texas A&M,1388,1401.0,,,,237f9c30050d3f038aae1e26ccfabb66,2026-03-19T23:35:00Z,-161.0,136.0,-3.25,,,147.5,,,,,,,,,exact,2026,Saint Mary's,Texas A&M,Saint Mary's vs. Texas A&M,2026-03-19 07:35 PM ET,round1_official_reference,X,X07,X10,X07,X10,False,,,,
First Round,2026-03-19,9:25 PM,TNT,South,R1X3,Illinois,Penn,1228,1335.0,,,,f1385beee81b374402faa277ca8b6122,2026-03-20T01:25:00Z,-10000.0,2000.0,-24.5,,,150.5,,,,,,,,,exact,2026,Illinois,Penn,Illinois vs. Penn,2026-03-19 09:25 PM ET,round1_official_reference,X,X03,X14,X03,X14,False,,,,
First Round,2026-03-19,9:45 PM,CBS,Midwest,R1Y8,Georgia,St Louis,1208,1387.0,,,,2ae3d7e84eac7c14989d08fcb2ca7d8e,2026-03-20T01:45:00Z,-155.0,133.0,-3.0,,,170.0,,,,,,,,,exact,2026,Georgia,Saint Louis,Georgia vs. Saint Louis,2026-03-19 09:45 PM ET,round1_official_reference,Y,Y08,Y09,Y08,Y09,False,,,,
First Round,2026-03-19,10:00 PM,TNT,West,R1Z3,Gonzaga,Kennesaw,1211,1244.0,,,,f16c056da963dd1c536ef628ca9448a1,2026-03-20T02:00:00Z,-4000.0,1450.0,-20.5,,,154.5,,,,,,,,,exact,2026,Gonzaga,Kennesaw State,Gonzaga vs. Kennesaw State,2026-03-19 10:00 PM ET,round1_official_reference,Z,Z03,Z14,Z03,Z14,False,,,,
First Round,2026-03-19,10:10 PM,truTV,South,R1X2,Houston,Idaho,1222,1225.0,,,,7d63441e64913cf3dbd54d3e1f511b36,2026-03-20T02:10:00Z,-10000.0,2000.0,-23.5,,,136.25,,,,,,,,,exact,2026,Houston,Idaho,Houston vs. Idaho,2026-03-19 10:10 PM ET,round1_official_reference,X,X02,X15,X02,X15,False,,,,
First Round,2026-03-20,12:15 PM,CBS,Midwest,R1Y7,Kentucky,Santa Clara,1246,1365.0,,,,3621f920fa4195ea7b94cad16359eec4,2026-03-20T16:15:00Z,-166.0,140.0,-3.5,,,160.5,,,,,,,,,exact,2026,Kentucky,Santa Clara,Kentucky vs. Santa Clara,2026-03-20 12:15 PM ET,round1_official_reference,Y,Y07,Y10,Y07,Y10,False,,,,
First Round,2026-03-20,12:40 PM,truTV,Midwest,R1Y5,Texas Tech,Akron,1403,1103.0,,,,21efa1de79d7419ff6642b56c3bd7f4e,2026-03-20T16:40:00Z,-315.0,250.0,-7.5,,,156.5,,,,,,,,,exact,2026,Texas Tech,Akron,Texas Tech vs. Akron,2026-03-20 12:40 PM ET,round1_official_reference,Y,Y05,Y12,Y05,Y12,False,,,,
First Round,2026-03-20,1:35 PM,TNT,West,R1Z1,Arizona,LIU Brooklyn,1112,1254.0,,,,3d46d5cd1d0973df199c49b59b0286d5,2026-03-20T17:35:00Z,-100000.0,6000.0,-31.5,,,151.5,,,,,,,,,exact,2026,Arizona,Long Island University,Arizona vs. Long Island University,2026-03-20 01:35 PM ET,round1_official_reference,Z,Z01,Z16,Z01,Z16,False,,,,
First Round,2026-03-20,1:50 PM,TBS,Midwest,R1Y3,Virginia,Wright St,1438,1460.0,,,,8cfeb3ec76f8fe79812a18838365b21b,2026-03-20T17:50:03Z,-2750.0,1206.0,-18.5,,,145.5,,,,,,,,,exact,2026,Virginia,Wright State,Virginia vs. Wright State,2026-03-20 01:50 PM ET,round1_official_reference,Y,Y03,Y14,Y03,Y14,False,,,,
First Round,2026-03-20,2:50 PM,CBS,Midwest,R1Y2,Iowa St,Tennessee St,1235,1398.0,,,,ce1b7df6a9120896f02b2859be04bc9e,2026-03-20T18:50:00Z,-11250.0,2350.0,-25.0,,,149.5,,,,,,,,,exact,2026,Iowa State,Tennessee State,Iowa State vs. Tennessee State,2026-03-20 02:50 PM ET,round1_official_reference,Y,Y02,Y15,Y02,Y15,False,,,,
First Round,2026-03-20,3:15 PM,truTV,Midwest,R1Y4,Alabama,Hofstra,1104,1220.0,,,,971d9d8ad2fe2607f127a619109a8cdf,2026-03-20T19:15:56Z,-925.0,612.5,-12.5,,,159.5,,,,,,,,,exact,2026,Alabama,Hofstra,Alabama vs. Hofstra,2026-03-20 03:15 PM ET,round1_official_reference,Y,Y04,Y13,Y04,Y13,False,,,,
First Round,2026-03-20,4:10 PM,TNT,West,R1Z8,Villanova,Utah St,1437,1429.0,,,,6396d6d59de88139cd308d04ccbd362c,2026-03-20T20:10:00Z,115.0,-135.0,2.0,,,147.0,,,,,,,,,exact,2026,Villanova,Utah State,Villanova vs. Utah State,2026-03-20 04:10 PM ET,round1_official_reference,Z,Z08,Z09,Z08,Z09,False,,,,
First Round,2026-03-20,4:25 PM,TBS,Midwest,R1Y6,Tennessee,,1397,,,,,,,,,,,,,,,,,,,,,pending_playin,2026,Tennessee,,Tennessee vs. TBD,2026-03-20 04:25 PM ET,round1_official_reference,Y,Y06,Y11,Y06,Y11,True,Y11,Winner of Miami OH vs SMU,,
First Round,2026-03-20,6:50 PM,TNT,South,R1X8,Clemson,Iowa,1155,1234.0,,,,99561d434de6bc73f538827ccca64168,2026-03-20T22:50:00Z,115.0,-135.0,2.0,,,129.5,,,,,,,,,exact,2026,Clemson,Iowa,Clemson vs. Iowa,2026-03-20 06:50 PM ET,round1_official_reference,X,X08,X09,X08,X09,False,,,,
First Round,2026-03-20,7:10 PM,CBS,East,R1W5,St John's,Northern Iowa,1385,1320.0,,,,a50e57ea6aa17d46dda91f9a9d33fae8,2026-03-20T23:10:00Z,-600.0,446.0,-10.5,,,131.5,,,,,,,,,exact,2026,St. John's,UNI,St. John's vs. UNI,2026-03-20 07:10 PM ET,round1_official_reference,W,W05,W12,W05,W12,False,,,,
First Round,2026-03-20,7:25 PM,TBS,East,R1W7,UCLA,UCF,1417,1416.0,,,,73aff5152ee4b2c05eff9ae407e6d65c,2026-03-20T23:25:00Z,-250.0,202.0,-6.0,,,152.5,,,,,,,,,exact,2026,UCLA,UCF,UCLA vs. UCF,2026-03-20 07:25 PM ET,round1_official_reference,W,W07,W10,W07,W10,False,,,,
First Round,2026-03-20,7:35 PM,truTV,West,R1Z2,Purdue,Queens NC,1345,1474.0,,,,db3e72207fdfaed613898c7b4952610f,2026-03-20T23:35:00Z,-13000.0,2500.0,-25.5,,,163.5,,,,,,,,,exact,2026,Purdue,Queens,Purdue vs. Queens,2026-03-20 07:35 PM ET,round1_official_reference,Z,Z02,Z15,Z02,Z15,False,,,,
First Round,2026-03-20,9:25 PM,TNT,South,R1X1,Florida,,1196,,,,,,,,,,,,,,,,,,,,,pending_playin,2026,Florida,,Florida vs. TBD,2026-03-20 09:25 PM ET,round1_official_reference,X,X01,X16,X01,X16,True,X16,Winner of Prairie View vs Lehigh,,
First Round,2026-03-20,9:45 PM,CBS,East,R1W4,Kansas,Cal Baptist,1242,1465.0,,,,4ed1082ee462d367e6aef5bb3987f09f,2026-03-21T01:45:00Z,-1200.0,754.0,-14.5,,,138.0,,,,,,,,,exact,2026,Kansas,Cal Baptist,Kansas vs. Cal Baptist,2026-03-20 09:45 PM ET,round1_official_reference,W,W04,W13,W04,W13,False,,,,
First Round,2026-03-20,10:00 PM,TBS,East,R1W2,Connecticut,Furman,1163,1202.0,,,,149f8ce2674cf5d5e2307fcb74cc8a71,2026-03-21T02:00:00Z,-5000.0,1600.0,-20.5,,,137.0,,,,,,,,,exact,2026,UConn,Furman,UConn vs. Furman,2026-03-20 10:00 PM ET,round1_official_reference,W,W02,W15,W02,W15,False,,,,
First Round,2026-03-20,10:10 PM,truTV,West,R1Z7,Miami FL,Missouri,1274,1281.0,,,,e62a91878453459997f36fd803409c88,2026-03-21T02:10:00Z,-130.0,110.0,-2.0,,,147.5,,,,,,,,,exact,2026,Miami (Fla.),Missouri,Miami (Fla.) vs. Missouri,2026-03-20 10:10 PM ET,round1_official_reference,Z,Z07,Z10,Z07,Z10,False,,,,
