Round,GameDateET,TipTimeET,Network,Region,Slot,TeamA,TeamB,TeamAID,TeamBID,SeedA,SeedB,Notes,EventID,CommenceTimeUTC,MarketMoneylineTeamA,MarketMoneylineTeamB,MarketSpreadTeamA,MarketSpreadPriceA,MarketSpreadPriceB,MarketTotal,MarketOverPrice,MarketUnderPrice,MarketProbTeamA,MarketProbTeamB,MarketBookCount,MoneylineHold,SpreadHold,TotalHold,OddsBundleMatchStatus,Season,OfficialTeamA,OfficialTeamB,GameLabel,TipDateTimeET,ScheduleGroup,RegionLetter,StrongSeed,WeakSeed,TeamASeed,TeamBSeed,NeedsPlayInWinner,PendingSeedBase,PendingFromGame,ScenarioLabel,ScenarioFromPlayIn
First Round,2026-03-19,4:05 PM,TNT,East,R1W3,Michigan St,N Dakota St,1277,1295.0,,,,e1392b7328ef7749e85605ddae5ab7cf,2026-03-19T20:05:59Z,-1900.0,1011.0,-16.5,-110.0,-110.0,143.5,-110.0,-110.0,0.913453632783764,0.0865463672162361,11.0,0.0400090009000899,0.0476190476190476,0.0476190476190476,exact,2026,Michigan State,North Dakota State,Michigan State vs. North Dakota State,2026-03-19 04:05 PM ET,round1_locked_runnable_now,W,W03,W14,W03,W14,False,,,,
First Round,2026-03-19,4:25 PM,TBS,West,R1Z4,Arkansas,Hawaii,1116,1218.0,,,,f238a7dd73a634df2b455b017e2cefe6,2026-03-19T20:25:05Z,-1300.0,800.0,-15.0,-110.0,-110.0,160.5,-109.0,-113.0,0.8931297709923663,0.1068702290076336,11.0,0.0444444444444445,0.0476190476190476,0.0476190476190476,exact,2026,Arkansas,Hawai'i,Arkansas vs. Hawai'i,2026-03-19 04:25 PM ET,round1_locked_runnable_now,Z,Z04,Z13,Z04,Z13,False,,,,
First Round,2026-03-19,6:50 PM,TNT,South,R1X6,North Carolina,VCU,1314,1433.0,,,,54f2978fe672f1d22f40fb742b4e56fc,2026-03-19T22:50:00Z,-140.0,116.0,-2.5,-110.0,-110.0,154.0,-110.0,-110.0,0.5585430102643292,0.4414569897356708,11.0,0.0420489296636086,0.0476190476190476,0.0476190476190476,exact,2026,North Carolina,VCU,North Carolina vs. VCU,2026-03-19 06:50 PM ET,round1_locked_runnable_now,X,X06,X11,X06,X11,False,,,,
First Round,2026-03-19,7:35 PM,truTV,South,R1X7,St Mary's CA,Texas A&M,1388,1401.0,,,,237f9c30050d3f038aae1e26ccfabb66,2026-03-19T23:35:00Z,-161.0,136.0,-3.25,-110.0,-110.0,147.5,-110.0,-110.0,0.5940252776713902,0.4059747223286097,11.0,0.0420494242463449,0.0476190476190476,0.0476190476190476,exact,2026,Saint Mary's,Texas A&M,Saint Mary's vs. Texas A&M,2026-03-19 07:35 PM ET,round1_locked_runnable_now,X,X07,X10,X07,X10,False,,,,
First Round,2026-03-19,9:25 PM,TNT,South,R1X3,Illinois,Penn,1228,1335.0,,,,f1385beee81b374402faa277ca8b6122,2026-03-20T01:25:00Z,-10000.0,2000.0,-24.5,-110.0,-110.0,150.5,-110.0,-110.0,0.9541117673784644,0.0458882326215357,10.0,0.0377180575200377,0.0476190476190476,0.0476190476190476,exact,2026,Illinois,Penn,Illinois vs. Penn,2026-03-19 09:25 PM ET,round1_locked_runnable_now,X,X03,X14,X03,X14,False,,,,
First Round,2026-03-19,9:45 PM,CBS,Midwest,R1Y8,Georgia,St Louis,1208,1387.0,,,,2ae3d7e84eac7c14989d08fcb2ca7d8e,2026-03-20T01:45:00Z,-155.0,133.0,-3.0,-110.0,-110.0,170.0,-110.0,-110.0,0.5882115462252725,0.4117884537747275,11.0,0.0409165302782323,0.0476190476190476,0.0476190476190476,exact,2026,Georgia,Saint Louis,Georgia vs. Saint Louis,2026-03-19 09:45 PM ET,round1_locked_runnable_now,Y,Y08,Y09,Y08,Y09,False,,,,
First Round,2026-03-19,10:00 PM,TNT,West,R1Z3,Gonzaga,Kennesaw,1211,1244.0,,,,f16c056da963dd1c536ef628ca9448a1,2026-03-20T02:00:00Z,-4000.0,1450.0,-20.5,-110.0,-110.0,154.5,-110.0,-110.0,0.9379727685325264,0.0620272314674734,11.0,0.0401258851298189,0.0476190476190476,0.0476190476190476,exact,2026,Gonzaga,Kennesaw State,Gonzaga vs. Kennesaw State,2026-03-19 10:00 PM ET,round1_locked_runnable_now,Z,Z03,Z14,Z03,Z14,False,,,,
First Round,2026-03-19,10:10 PM,truTV,South,R1X2,Houston,Idaho,1222,1225.0,,,,7d63441e64913cf3dbd54d3e1f511b36,2026-03-20T02:10:00Z,-10000.0,2000.0,-23.5,-110.0,-110.0,136.25,-110.0,-110.0,0.9541117673784644,0.0458882326215357,10.0,0.0364957130633698,0.0476190476190476,0.0476190476190476,exact,2026,Houston,Idaho,Houston vs. Idaho,2026-03-19 10:10 PM ET,round1_locked_runnable_now,X,X02,X15,X02,X15,False,,,,
First Round,2026-03-20,12:15 PM,CBS,Midwest,R1Y7,Kentucky,Santa Clara,1246,1365.0,,,,3621f920fa4195ea7b94cad16359eec4,2026-03-20T16:15:00Z,-166.0,140.0,-3.5,-110.0,-110.0,160.5,-110.0,-110.0,0.6017699115044248,0.3982300884955752,11.0,0.0411522633744856,0.0476190476190476,0.0476190476190476,exact,2026,Kentucky,Santa Clara,Kentucky vs. Santa Clara,2026-03-20 12:15 PM ET,round1_locked_runnable_now,Y,Y07,Y10,Y07,Y10,False,,,,
First Round,2026-03-20,12:40 PM,truTV,Midwest,R1Y5,Texas Tech,Akron,1403,1103.0,,,,21efa1de79d7419ff6642b56c3bd7f4e,2026-03-20T16:40:00Z,-315.0,250.0,-7.5,-110.0,-110.0,156.5,-110.0,-110.0,0.7268851585398347,0.2731148414601653,11.0,0.0424836601307188,0.0476190476190476,0.0476190476190476,exact,2026,Texas Tech,Akron,Texas Tech vs. Akron,2026-03-20 12:40 PM ET,round1_locked_runnable_now,Y,Y05,Y12,Y05,Y12,False,,,,
